Probability	lower	upper	Year	Predictions	ENiClust	Subgroup
0.382333742824605	0.347503053613867	0.417164432035343	4	Cumulative	IC4ER-	TNBC
0.38231907020697	0.347488250447198	0.417149889966742	5	Cumulative	IC4ER-	TNBC
0.394328577848323	0.359222496493104	0.429434659203542	6	Cumulative	IC4ER-	TNBC
0.406578841167424	0.371237237410765	0.441920444924082	7	Cumulative	IC4ER-	TNBC
0.41885021524643	0.383327595390608	0.454372835102253	8	Cumulative	IC4ER-	TNBC
0.443670236185984	0.407923269047959	0.47941720332401	9	Cumulative	IC4ER-	TNBC
0.443652570432248	0.407904793342726	0.479400347521771	10	Cumulative	IC4ER-	TNBC
0.456256300273446	0.420458800548259	0.492053799998632	11	Cumulative	IC4ER-	TNBC
0.456240637807328	0.420442671275761	0.492038604338896	12	Cumulative	IC4ER-	TNBC
0.456224286960527	0.420425912072264	0.49202266184879	13	Cumulative	IC4ER-	TNBC
0.456219520431554	0.420421128797729	0.492017912065379	14	Cumulative	IC4ER-	TNBC
0.456207312206073	0.420408384783333	0.492006239628813	15	Cumulative	IC4ER-	TNBC
0.49233313596357	0.456564563488516	0.528101708438625	16	Cumulative	IC4ER-	TNBC
0.528657739815364	0.493408685029341	0.563906794601387	17	Cumulative	IC4ER-	TNBC
0.528645621302986	0.493397154893504	0.563894087712469	18	Cumulative	IC4ER-	TNBC
0.528618193708753	0.493370778062286	0.56386560935522	19	Cumulative	IC4ER-	TNBC
0.528618193708753	0.493370778062286	0.56386560935522	20	Cumulative	IC4ER-	TNBC
0.0816995330568925	0.0740784846930101	0.0893205814207749	1	Cumulative	IC5	HER2+
0.232887588607908	0.21508400550906	0.250691171706755	2	Cumulative	IC5	HER2+
0.355105153167437	0.33255740588322	0.377652900451655	3	Cumulative	IC5	HER2+
0.45221188810813	0.428044770006289	0.476379006209971	4	Cumulative	IC5	HER2+
0.476496957704254	0.452213650804443	0.500780264604066	5	Cumulative	IC5	HER2+
0.488697549973563	0.464399084798263	0.512996015148863	6	Cumulative	IC5	HER2+
0.520007158605077	0.49580023657067	0.544214080639485	7	Cumulative	IC5	HER2+
0.545406326528491	0.521400434570898	0.569412218486084	8	Cumulative	IC5	HER2+
0.545406326528491	0.521400434570898	0.569412218486084	9	Cumulative	IC5	HER2+
0.545406326528491	0.521400434570898	0.569412218486084	10	Cumulative	IC5	HER2+
0.563860134098365	0.540060591808689	0.58765967638804	11	Cumulative	IC5	HER2+
0.57418143936119	0.550521412191129	0.59784146653125	12	Cumulative	IC5	HER2+
0.585692246913211	0.562182051926643	0.609202441899779	13	Cumulative	IC5	HER2+
0.585692246913211	0.562182051926643	0.609202441899779	14	Cumulative	IC5	HER2+
0.585692246913211	0.562182051926643	0.609202441899779	15	Cumulative	IC5	HER2+
0.585692246913211	0.562182051926643	0.609202441899779	16	Cumulative	IC5	HER2+
0.600914643325509	0.577607824889991	0.624221461761028	17	Cumulative	IC5	HER2+
0.60091464332551	0.577607824889991	0.624221461761028	18	Cumulative	IC5	HER2+
0.60091464332551	0.577607824889991	0.624221461761028	19	Cumulative	IC5	HER2+
0.60091464332551	0.577607824889991	0.624221461761028	20	Cumulative	IC5	HER2+
0.0136841789215417	0.0118452719620542	0.0155230858810291	1	Cumulative	IC6	ER+ High
0.123084928460029	0.108449191831062	0.137720665088997	2	Cumulative	IC6	ER+ High
0.189860416103529	0.169078636262092	0.210642195944965	3	Cumulative	IC6	ER+ High
0.256668279891402	0.231028083586705	0.282308476196099	4	Cumulative	IC6	ER+ High
0.283566156571464	0.256337736626435	0.310794576516493	5	Cumulative	IC6	ER+ High
0.324696848505662	0.295466506891761	0.353927190119564	6	Cumulative	IC6	ER+ High
0.366406951020718	0.335668019882965	0.397145882158471	7	Cumulative	IC6	ER+ High
0.410589920565187	0.378772408946289	0.442407432184085	8	Cumulative	IC6	ER+ High
0.440758593910934	0.408542728377941	0.472974459443927	9	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	10	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	11	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	12	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	13	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	14	Cumulative	IC6	ER+ High
0.489258449288478	0.45694270371051	0.521574194866446	15	Cumulative	IC6	ER+ High
0.51287403432484	0.48052911197188	0.5452189566778	16	Cumulative	IC6	ER+ High
0.51287403432484	0.48052911197188	0.5452189566778	17	Cumulative	IC6	ER+ High
0.51287403432484	0.48052911197188	0.5452189566778	18	Cumulative	IC6	ER+ High
0.51287403432484	0.48052911197188	0.5452189566778	19	Cumulative	IC6	ER+ High
0.51287403432484	0.48052911197188	0.5452189566778	20	Cumulative	IC6	ER+ High
0.0190941604924737	0.0168150286457605	0.0213732923391868	1	Cumulative	IC9	ER+ High
0.129920901846242	0.116199157803142	0.143642645889341	2	Cumulative	IC9	ER+ High
0.176257491557485	0.158642034155077	0.193872948959894	3	Cumulative	IC9	ER+ High
0.259905513289289	0.236592923563694	0.283218103014884	4	Cumulative	IC9	ER+ High
0.279136386641618	0.254781090241998	0.303491683041238	5	Cumulative	IC9	ER+ High
0.307682202515261	0.281948366873055	0.333416038157467	6	Cumulative	IC9	ER+ High
0.328151687593431	0.301563115515645	0.354740259671217	7	Cumulative	IC9	ER+ High
0.34883704008293	0.321507107514845	0.376166972651016	8	Cumulative	IC9	ER+ High
0.381847359295946	0.353571934851712	0.41012278374018	9	Cumulative	IC9	ER+ High
0.407906896172955	0.379096733126363	0.436717059219546	10	Cumulative	IC9	ER+ High
0.407778802476497	0.378969238322591	0.436588366630402	11	Cumulative	IC9	ER+ High
0.439065515138879	0.409872949946115	0.468258080331642	12	Cumulative	IC9	ER+ High
0.438042490993599	0.408839266395637	0.467245715591561	13	Cumulative	IC9	ER+ High
0.456662678957536	0.42732720487566	0.485998153039412	14	Cumulative	IC9	ER+ High
0.477015848325157	0.4476263211804	0.506405375469913	15	Cumulative	IC9	ER+ High
0.496899386263236	0.467517569747902	0.52628120277857	16	Cumulative	IC9	ER+ High
0.496795443888314	0.467413863193468	0.52617702458316	17	Cumulative	IC9	ER+ High
0.4966731362544	0.467292390267348	0.526053882241452	18	Cumulative	IC9	ER+ High
0.496507054251214	0.467127206335838	0.52588690216659	19	Cumulative	IC9	ER+ High
0.496327085365076	0.466947269043975	0.525706901686177	20	Cumulative	IC9	ER+ High
0.073381387810925	0.066617343821626	0.0801454318002239	1	Cumulative	IC10	TNBC
