Sample,group,name,value
CURTIS_H000575_T01_01_WG01,IC10,SV_dama,79
CURTIS_H000576_T01_01_WG01,IC4ER-,fraction_cna,0.69
CURTIS_H000576_T01_01_WG01,IC4ER-,fraction_loh,0.35
CURTIS_H000576_T01_01_WG01,IC4ER-,SV_dama,322
CURTIS_H000577_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H000577_T01_01_WG01,IC10,fraction_loh,0.21
CURTIS_H000577_T01_01_WG01,IC10,SV_dama,44
CURTIS_H000578_T01_01_WG01,IC10,fraction_cna,0.59
CURTIS_H000578_T01_01_WG01,IC10,fraction_loh,0.26
CURTIS_H000578_T01_01_WG01,IC10,SV_dama,200
CURTIS_H000579_T01_01_WG01,IC10,fraction_cna,1
CURTIS_H000579_T01_01_WG01,IC10,fraction_loh,0.24
CURTIS_H000579_T01_01_WG01,IC10,SV_dama,49
CURTIS_H000580_T01_01_WG01,IC4ER-,fraction_cna,0.91
CURTIS_H000580_T01_01_WG01,IC4ER-,fraction_loh,0.29
CURTIS_H000580_T01_01_WG01,IC4ER-,SV_dama,170
CURTIS_H000581_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H000581_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H000581_T01_01_WG01,IC10,SV_dama,103
CURTIS_H000582_T01_01_WG01,IC10,fraction_cna,1
CURTIS_H000582_T01_01_WG01,IC10,fraction_loh,0.26
CURTIS_H000582_T01_01_WG01,IC10,SV_dama,85
CURTIS_H000583_T01_01_WG01,IC10,fraction_cna,0.85
CURTIS_H000583_T01_01_WG01,IC10,fraction_loh,0.18
CURTIS_H000583_T01_01_WG01,IC10,SV_dama,99
CURTIS_H000586_T01_01_WG01,IC4ER-,fraction_cna,0.41
CURTIS_H000586_T01_01_WG01,IC4ER-,fraction_loh,0.0079
CURTIS_H000586_T01_01_WG01,IC4ER-,SV_dama,
CURTIS_H000588_T01_01_WG01,IC10,fraction_cna,0.95
CURTIS_H000588_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H000588_T01_01_WG01,IC10,SV_dama,67
CURTIS_H000589_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H000589_T01_01_WG01,IC10,fraction_loh,0.12
CURTIS_H000589_T01_01_WG01,IC10,SV_dama,322
CURTIS_H000590_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H000590_T01_01_WG01,IC10,fraction_loh,0
CURTIS_H000590_T01_01_WG01,IC10,SV_dama,409
CURTIS_H000724_T01_01_WG01,IC10,fraction_cna,0.53
CURTIS_H000724_T01_01_WG01,IC10,fraction_loh,0.2
CURTIS_H000724_T01_01_WG01,IC10,SV_dama,4
CURTIS_H000730_T01_01_WG01,IC4ER-,fraction_cna,0.9
CURTIS_H000730_T01_01_WG01,IC4ER-,fraction_loh,0.00087
CURTIS_H000730_T01_01_WG01,IC4ER-,SV_dama,186
CURTIS_H000779_T01_01_WG01,IC10,fraction_cna,0.96
CURTIS_H000779_T01_01_WG01,IC10,fraction_loh,0.16
CURTIS_H000779_T01_01_WG01,IC10,SV_dama,32
CURTIS_H000782_T01_01_WG01,IC10,fraction_cna,0.85
CURTIS_H000782_T01_01_WG01,IC10,fraction_loh,0.17
CURTIS_H000782_T01_01_WG01,IC10,SV_dama,78
CURTIS_H000793_T01_01_WG01,IC10,fraction_cna,0.47
CURTIS_H000793_T01_01_WG01,IC10,fraction_loh,0.12
CURTIS_H000793_T01_01_WG01,IC10,SV_dama,58
CURTIS_H001390_T01_01_WG01,IC10,fraction_cna,0.87
CURTIS_H001390_T01_01_WG01,IC10,fraction_loh,0.11
CURTIS_H001390_T01_01_WG01,IC10,SV_dama,46
CURTIS_H001544_T01_01_WG01,IC4ER-,fraction_cna,0.31
CURTIS_H001544_T01_01_WG01,IC4ER-,fraction_loh,0.043
CURTIS_H001544_T01_01_WG01,IC4ER-,SV_dama,39
CURTIS_H001548_T01_01_WG01,IC10,fraction_cna,0.82
CURTIS_H001548_T01_01_WG01,IC10,fraction_loh,0.086
CURTIS_H001548_T01_01_WG01,IC10,SV_dama,77
CURTIS_H001578_T01_01_WG01,IC4ER-,fraction_cna,0.057
CURTIS_H001578_T01_01_WG01,IC4ER-,fraction_loh,0
CURTIS_H001578_T01_01_WG01,IC4ER-,SV_dama,2
CURTIS_H001580_T01_01_WG01,IC10,fraction_cna,0.99
CURTIS_H001580_T01_01_WG01,IC10,fraction_loh,0.28
CURTIS_H001580_T01_01_WG01,IC10,SV_dama,308
CURTIS_H001582_T01_01_WG01,IC10,fraction_cna,0.59
CURTIS_H001582_T01_01_WG01,IC10,fraction_loh,0.34
CURTIS_H001582_T01_01_WG01,IC10,SV_dama,65
CURTIS_H001584_T01_01_WG01,IC4ER-,fraction_cna,0.73
