Sample	ENiClust	key	value	logvalue
CURTIS_H000444_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000445_T01_01_WG01	ER+ Typical	RS6	233	2.36921585741014
CURTIS_H000446_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000447_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000448_T01_01_WG01	ER+ Typical	RS6	35	1.55630250076729
CURTIS_H000449_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000450_T01_01_WG01	ER+ Typical	RS6	6	0.845098040014257
CURTIS_H000451_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000452_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H000453_T01_01_WG01	ER+ Typical	RS6	9	1
CURTIS_H000454_T01_01_WG01	ER+ Typical	RS6	130	2.11727129565576
CURTIS_H000455_T01_01_WG01	IC1	RS6	0	0
CURTIS_H000456_T01_01_WG01	ER+ Typical	RS6	61	1.79239168949825
CURTIS_H000457_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000458_T01_01_WG01	ER+ Typical	RS6	15	1.20411998265592
CURTIS_H000459_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000460_T01_01_WG01	ER+ Typical	RS6	36	1.56820172406699
CURTIS_H000461_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000462_T01_01_WG01	IC9	RS6	14	1.17609125905568
CURTIS_H000463_T01_01_WG01	ER+ Typical	RS6	110	2.04532297878666
CURTIS_H000464_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000465_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000466_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H000467_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000468_T01_01_WG01	ER+ Typical	RS6	44	1.65321251377534
CURTIS_H000469_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000470_T01_01_WG01	ER+ Typical	RS6	16	1.23044892137827
CURTIS_H000471_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H000472_T01_01_WG01	IC9	RS6	53	1.73239375982297
CURTIS_H000473_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H000474_T01_01_WG01	ER+ Typical	RS6	33	1.53147891704226
CURTIS_H000475_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000476_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000477_T01_01_WG01	IC1	RS6	131	2.12057393120585
CURTIS_H000478_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000479_T01_01_WG01	IC9	RS6	30	1.49136169383427
CURTIS_H000481_T01_01_WG01	ER+ Typical	RS6	15	1.20411998265592
CURTIS_H000482_T01_01_WG01	ER+ Typical	RS6	15	1.20411998265592
CURTIS_H000483_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000484_T01_01_WG01	IC6	RS6	0	0
CURTIS_H000485_T01_01_WG01	IC2	RS6	87	1.94448267215017
CURTIS_H000486_T01_01_WG01	ER+ Typical	RS6	9	1
CURTIS_H000487_T01_01_WG01	HER2+	RS6	42	1.63346845557959
CURTIS_H000488_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000489_T01_01_WG01	IC6	RS6	70	1.85125834871908
CURTIS_H000490_T01_01_WG01	ER+ Typical	RS6	27	1.44715803134222
CURTIS_H000491_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000492_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000493_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000494_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000495_T01_01_WG01	ER+ Typical	RS6	7	0.903089986991944
CURTIS_H000496_T01_01_WG01	ER+ Typical	RS6	12	1.11394335230684
CURTIS_H000497_T01_01_WG01	IC9	RS6	57	1.76342799356294
CURTIS_H000500_T01_01_WG01	IC2	RS6	3	0.602059991327962
CURTIS_H000502_T01_01_WG01	HER2+	RS6	30	1.49136169383427
CURTIS_H000503_T01_01_WG01	ER+ Typical	RS6	NA	NA
CURTIS_H000505_T01_01_WG01	IC9	RS6	85	1.93449845124357
CURTIS_H000507_T01_01_WG01	ER+ Typical	RS6	71	1.85733249643127
CURTIS_H000511_T01_01_WG01	IC1	RS6	88	1.94939000664491
CURTIS_H000513_T01_01_WG01	IC9	RS6	109	2.04139268515822
CURTIS_H000518_T01_01_WG01	IC2	RS6	30	1.49136169383427
CURTIS_H000519_T01_01_WG01	IC1	RS6	0	0
CURTIS_H000520_T01_01_WG01	HER2+	RS6	117	2.07188200730613
CURTIS_H000521_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000522_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000523_T01_01_WG01	HER2+	RS6	54	1.74036268949424
CURTIS_H000524_T01_01_WG01	HER2+	RS6	369	2.56820172406699
CURTIS_H000526_T01_01_WG01	ER+ Typical	RS6	21	1.34242268082221
CURTIS_H000527_T01_01_WG01	IC1	RS6	64	1.81291335664286
CURTIS_H000529_T01_01_WG01	IC2	RS6	46	1.67209785793572
CURTIS_H000530_T01_01_WG01	HER2+	RS6	115	2.06445798922692
CURTIS_H000532_T01_01_WG01	ER+ Typical	RS6	51	1.7160033436348
CURTIS_H000534_T01_01_WG01	IC9	RS6	86	1.93951925261862
CURTIS_H000535_T01_01_WG01	IC9	RS6	133	2.12710479836481
CURTIS_H000537_T01_01_WG01	HER2+	RS6	61	1.79239168949825
CURTIS_H000539_T01_01_WG01	IC9	RS6	49	1.69897000433602
CURTIS_H000541_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000546_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000547_T01_01_WG01	HER2+	RS6	6	0.845098040014257
CURTIS_H000548_T01_01_WG01	HER2+	RS6	185	2.26951294421792
CURTIS_H000552_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H000553_T01_01_WG01	IC1	RS6	181	2.26007138798507
CURTIS_H000554_T01_01_WG01	IC9	RS6	3	0.602059991327962
CURTIS_H000557_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000558_T01_01_WG01	HER2+	RS6	166	2.22271647114758
CURTIS_H000559_T01_01_WG01	HER2+	RS6	61	1.79239168949825
CURTIS_H000565_T01_01_WG01	IC9	RS6	96	1.98677173426624
CURTIS_H000567_T01_01_WG01	IC9	RS6	0	0
CURTIS_H000581_T01_01_WG01	IC9	RS6	151	2.18184358794477
CURTIS_H000585_T01_01_WG01	IC9	RS6	101	2.00860017176192
CURTIS_H000586_T01_01_WG01	ER+ Typical	RS6	NA	NA
CURTIS_H000587_T01_01_WG01	HER2+	RS6	158	2.20139712432045
CURTIS_H000591_T01_01_WG01	ER+ Typical	RS6	33	1.53147891704226
CURTIS_H000592_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H000593_T01_01_WG01	IC1	RS6	3	0.602059991327962
CURTIS_H000744_T01_01_WG01	ER+ Typical	RS6	NA	NA
CURTIS_H000793_T01_01_WG01	ER+ Typical	RS6	9	1
CURTIS_H001391_T01_01_WG01	ER+ Typical	RS6	55	1.7481880270062
CURTIS_H001392_T01_01_WG01	ER+ Typical	RS6	27	1.44715803134222
CURTIS_H001393_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H001394_T01_01_WG01	IC1	RS6	17	1.25527250510331
CURTIS_H001395_T01_01_WG01	IC1	RS6	22	1.36172783601759
CURTIS_H001396_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001397_T01_01_WG01	ER+ Typical	RS6	7	0.903089986991944
CURTIS_H001398_T01_01_WG01	IC2	RS6	24	1.39794000867204
CURTIS_H001399_T01_01_WG01	HER2+	RS6	59	1.77815125038364
CURTIS_H001400_T01_01_WG01	IC1	RS6	249	2.39794000867204
CURTIS_H001401_T01_01_WG01	HER2+	RS6	266	2.42651126136458
CURTIS_H001402_T01_01_WG01	ER+ Typical	RS6	90	1.95904139232109
CURTIS_H001403_T01_01_WG01	IC1	RS6	69	1.84509804001426
CURTIS_H001404_T01_01_WG01	HER2+	RS6	154	2.19033169817029
CURTIS_H001405_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001406_T01_01_WG01	ER+ Typical	RS6	4	0.698970004336019
CURTIS_H001407_T01_01_WG01	ER+ Typical	RS6	4	0.698970004336019
CURTIS_H001408_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001409_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H001410_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H001411_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001412_T01_01_WG01	ER+ Typical	RS6	3	0.602059991327962
CURTIS_H001413_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001414_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001415_T01_01_WG01	ER+ Typical	RS6	15	1.20411998265592
CURTIS_H001416_T01_01_WG01	IC9	RS6	173	2.2405492482826
CURTIS_H001417_T01_01_WG01	IC1	RS6	237	2.37657695705651
CURTIS_H001418_T01_01_WG01	ER+ Typical	RS6	5	0.778151250383644
CURTIS_H001419_T01_01_WG01	IC6	RS6	16	1.23044892137827
CURTIS_H001420_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001421_T01_01_WG01	ER+ Typical	RS6	41	1.6232492903979
CURTIS_H001422_T01_01_WG01	IC6	RS6	27	1.44715803134222
CURTIS_H001423_T01_01_WG01	ER+ Typical	RS6	23	1.38021124171161
CURTIS_H001424_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001426_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001427_T01_01_WG01	ER+ Typical	RS6	28	1.46239799789896
CURTIS_H001428_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001429_T01_01_WG01	IC1	RS6	92	1.96848294855394
CURTIS_H001430_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001431_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001432_T01_01_WG01	IC2	RS6	108	2.03742649794062
CURTIS_H001433_T01_01_WG01	ER+ Typical	RS6	12	1.11394335230684
CURTIS_H001434_T01_01_WG01	ER+ Typical	RS6	16	1.23044892137827
CURTIS_H001435_T01_01_WG01	ER+ Typical	RS6	3	0.602059991327962
CURTIS_H001436_T01_01_WG01	IC1	RS6	28	1.46239799789896
CURTIS_H001437_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001438_T01_01_WG01	IC6	RS6	40	1.61278385671974
CURTIS_H001439_T01_01_WG01	ER+ Typical	RS6	15	1.20411998265592
CURTIS_H001440_T01_01_WG01	HER2+	RS6	127	2.10720996964787
CURTIS_H001441_T01_01_WG01	HER2+	RS6	25	1.41497334797082
CURTIS_H001442_T01_01_WG01	HER2+	RS6	78	1.89762709129044
CURTIS_H001443_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001444_T01_01_WG01	IC6	RS6	23	1.38021124171161
CURTIS_H001445_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001446_T01_01_WG01	ER+ Typical	RS6	18	1.27875360095283
CURTIS_H001447_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001448_T01_01_WG01	ER+ Typical	RS6	133	2.12710479836481
CURTIS_H001449_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H001450_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001451_T01_01_WG01	ER+ Typical	RS6	9	1
CURTIS_H001452_T01_01_WG01	IC2	RS6	8	0.954242509439325
CURTIS_H001453_T01_01_WG01	ER+ Typical	RS6	43	1.64345267648619
CURTIS_H001454_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001455_T01_01_WG01	ER+ Typical	RS6	5	0.778151250383644
CURTIS_H001456_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001457_T01_01_WG01	ER+ Typical	RS6	38	1.5910646070265
CURTIS_H001458_T01_01_WG01	ER+ Typical	RS6	21	1.34242268082221
CURTIS_H001459_T01_01_WG01	IC1	RS6	113	2.05690485133647
CURTIS_H001460_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H001461_T01_01_WG01	IC9	RS6	40	1.61278385671974
CURTIS_H001462_T01_01_WG01	HER2+	RS6	102	2.01283722470517
CURTIS_H001463_T01_01_WG01	HER2+	RS6	73	1.86923171973098
CURTIS_H001464_T01_01_WG01	ER+ Typical	RS6	93	1.9731278535997
CURTIS_H001465_T01_01_WG01	HER2+	RS6	46	1.67209785793572
CURTIS_H001466_T01_01_WG01	IC9	RS6	93	1.9731278535997
CURTIS_H001467_T01_01_WG01	IC2	RS6	109	2.04139268515822
CURTIS_H001468_T01_01_WG01	ER+ Typical	RS6	128	2.11058971029925
CURTIS_H001469_T01_01_WG01	ER+ Typical	RS6	NA	NA
CURTIS_H001470_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001471_T01_01_WG01	ER+ Typical	RS6	58	1.77085201164214
CURTIS_H001472_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001473_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001474_T01_01_WG01	ER+ Typical	RS6	NA	NA
CURTIS_H001475_T01_01_WG01	ER+ Typical	RS6	16	1.23044892137827
CURTIS_H001476_T01_01_WG01	ER+ Typical	RS6	10	1.04139268515822
CURTIS_H001477_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001478_T01_01_WG01	IC1	RS6	124	2.09691001300806
CURTIS_H001479_T01_01_WG01	ER+ Typical	RS6	222	2.34830486304816
CURTIS_H001480_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001481_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001482_T01_01_WG01	IC9	RS6	41	1.6232492903979
CURTIS_H001483_T01_01_WG01	HER2+	RS6	180	2.25767857486918
CURTIS_H001484_T01_01_WG01	HER2+	RS6	106	2.02938377768521
CURTIS_H001486_T01_01_WG01	IC1	RS6	219	2.34242268082221
CURTIS_H001487_T01_01_WG01	IC1	RS6	17	1.25527250510331
CURTIS_H001488_T01_01_WG01	HER2+	RS6	38	1.5910646070265
CURTIS_H001489_T01_01_WG01	HER2+	RS6	81	1.91381385238372
CURTIS_H001490_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001491_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001492_T01_01_WG01	ER+ Typical	RS6	45	1.66275783168157
CURTIS_H001493_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001494_T01_01_WG01	ER+ Typical	RS6	105	2.02530586526477
CURTIS_H001495_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001496_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001497_T01_01_WG01	IC6	RS6	68	1.83884909073726
CURTIS_H001498_T01_01_WG01	ER+ Typical	RS6	4	0.698970004336019
CURTIS_H001499_T01_01_WG01	ER+ Typical	RS6	3	0.602059991327962
CURTIS_H001500_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001501_T01_01_WG01	IC9	RS6	6	0.845098040014257
CURTIS_H001502_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001503_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001504_T01_01_WG01	ER+ Typical	RS6	8	0.954242509439325
CURTIS_H001505_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001506_T01_01_WG01	ER+ Typical	RS6	8	0.954242509439325
CURTIS_H001507_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001508_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001509_T01_01_WG01	ER+ Typical	RS6	64	1.81291335664286
CURTIS_H001510_T01_01_WG01	IC1	RS6	157	2.19865708695442
CURTIS_H001511_T01_01_WG01	IC1	RS6	43	1.64345267648619
CURTIS_H001512_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001513_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001514_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001515_T01_01_WG01	ER+ Typical	RS6	4	0.698970004336019
CURTIS_H001516_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H001517_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001518_T01_01_WG01	IC2	RS6	52	1.72427586960079
CURTIS_H001519_T01_01_WG01	IC9	RS6	92	1.96848294855394
CURTIS_H001520_T01_01_WG01	IC9	RS6	32	1.51851393987789
CURTIS_H001521_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001522_T01_01_WG01	ER+ Typical	RS6	7	0.903089986991944
CURTIS_H001523_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001524_T01_01_WG01	ER+ Typical	RS6	21	1.34242268082221
CURTIS_H001525_T01_01_WG01	ER+ Typical	RS6	122	2.0899051114394
CURTIS_H001526_T01_01_WG01	IC2	RS6	153	2.18752072083646
CURTIS_H001527_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H001528_T01_01_WG01	ER+ Typical	RS6	48	1.69019608002851
CURTIS_H001529_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001530_T01_01_WG01	IC2	RS6	12	1.11394335230684
CURTIS_H001531_T01_01_WG01	ER+ Typical	RS6	30	1.49136169383427
CURTIS_H001532_T01_01_WG01	IC2	RS6	8	0.954242509439325
CURTIS_H001533_T01_01_WG01	ER+ Typical	RS6	25	1.41497334797082
CURTIS_H001534_T01_01_WG01	IC2	RS6	32	1.51851393987789
CURTIS_H001535_T01_01_WG01	ER+ Typical	RS6	18	1.27875360095283
CURTIS_H001536_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001537_T01_01_WG01	ER+ Typical	RS6	93	1.9731278535997
CURTIS_H001538_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001539_T01_01_WG01	ER+ Typical	RS6	3	0.602059991327962
CURTIS_H001540_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001541_T01_01_WG01	IC9	RS6	48	1.69019608002851
CURTIS_H001542_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001543_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001545_T01_01_WG01	HER2+	RS6	194	2.29003461136252
CURTIS_H001546_T01_01_WG01	IC9	RS6	0	0
CURTIS_H001547_T01_01_WG01	HER2+	RS6	64	1.81291335664286
CURTIS_H001548_T01_01_WG01	IC9	RS6	28	1.46239799789896
CURTIS_H001549_T01_01_WG01	HER2+	RS6	7	0.903089986991944
CURTIS_H001550_T01_01_WG01	HER2+	RS6	36	1.56820172406699
CURTIS_H001551_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001552_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001553_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H001554_T01_01_WG01	IC9	RS6	30	1.49136169383427
CURTIS_H001555_T01_01_WG01	HER2+	RS6	14	1.17609125905568
CURTIS_H001556_T01_01_WG01	HER2+	RS6	13	1.14612803567824
CURTIS_H001557_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001558_T01_01_WG01	IC9	RS6	46	1.67209785793572
CURTIS_H001559_T01_01_WG01	IC6	RS6	28	1.46239799789896
CURTIS_H001560_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001561_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001562_T01_01_WG01	ER+ Typical	RS6	14	1.17609125905568
CURTIS_H001563_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001564_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001565_T01_01_WG01	ER+ Typical	RS6	5	0.778151250383644
CURTIS_H001566_T01_01_WG01	IC6	RS6	8	0.954242509439325
CURTIS_H001567_T01_01_WG01	ER+ Typical	RS6	184	2.26717172840301
CURTIS_H001568_T01_01_WG01	IC6	RS6	0	0
CURTIS_H001569_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001570_T01_01_WG01	ER+ Typical	RS6	22	1.36172783601759
CURTIS_H001571_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001572_T01_01_WG01	ER+ Typical	RS6	1	0.301029995663981
CURTIS_H001573_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001574_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H001575_T01_01_WG01	ER+ Typical	RS6	5	0.778151250383644
CURTIS_H001576_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001577_T01_01_WG01	ER+ Typical	RS6	7	0.903089986991944
CURTIS_H001579_T01_01_WG01	ER+ Typical	RS6	9	1
CURTIS_H001581_T01_01_WG01	HER2+	RS6	127	2.10720996964787
CURTIS_H001583_T01_01_WG01	HER2+	RS6	0	0
CURTIS_H001585_T01_01_WG01	ER+ Typical	RS6	48	1.69019608002851
CURTIS_H001586_T01_01_WG01	HER2+	RS6	37	1.57978359661681
CURTIS_H001588_T01_01_WG01	ER+ Typical	RS6	24	1.39794000867204
CURTIS_H001589_T01_01_WG01	IC6	RS6	20	1.32221929473392
CURTIS_H001590_T01_01_WG01	HER2+	RS6	1	0.301029995663981
CURTIS_H001591_T01_01_WG01	IC1	RS6	154	2.19033169817029
CURTIS_H001593_T01_01_WG01	IC9	RS6	16	1.23044892137827
CURTIS_H001595_T01_01_WG01	HER2+	RS6	40	1.61278385671974
CURTIS_H001596_T01_01_WG01	HER2+	RS6	84	1.92941892571429
CURTIS_H001604_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001611_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001614_T01_01_WG01	IC9	RS6	0	0
CURTIS_H001615_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001616_T01_01_WG01	HER2+	RS6	10	1.04139268515822
CURTIS_H001620_T01_01_WG01	ER+ Typical	RS6	46	1.67209785793572
CURTIS_H001621_T01_01_WG01	IC9	RS6	4	0.698970004336019
CURTIS_H001626_T01_01_WG01	IC9	RS6	19	1.30102999566398
CURTIS_H001627_T01_01_WG01	HER2+	RS6	133	2.12710479836481
CURTIS_H001629_T01_01_WG01	HER2+	RS6	48	1.69019608002851
CURTIS_H001630_T01_01_WG01	IC1	RS6	34	1.54406804435028
CURTIS_H001631_T01_01_WG01	IC1	RS6	103	2.01703333929878
CURTIS_H001633_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001636_T01_01_WG01	IC2	RS6	27	1.44715803134222
CURTIS_H001637_T01_01_WG01	HER2+	RS6	275	2.44090908206522
CURTIS_H001639_T01_01_WG01	ER+ Typical	RS6	2	0.477121254719662
CURTIS_H001640_T01_01_WG01	ER+ Typical	RS6	17	1.25527250510331
CURTIS_H001642_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001646_T01_01_WG01	ER+ Typical	RS6	48	1.69019608002851
CURTIS_H001650_T01_01_WG01	ER+ Typical	RS6	39	1.60205999132796
CURTIS_H001651_T01_01_WG01	HER2+	RS6	55	1.7481880270062
CURTIS_H001652_T01_01_WG01	IC9	RS6	6	0.845098040014257
CURTIS_H001653_T01_01_WG01	ER+ Typical	RS6	50	1.70757017609794
CURTIS_H001654_T01_01_WG01	ER+ Typical	RS6	79	1.90308998699194
CURTIS_H001656_T01_01_WG01	HER2+	RS6	47	1.68124123737559
CURTIS_H001658_T01_01_WG01	HER2+	RS6	56	1.75587485567249
CURTIS_H001659_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001661_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001663_T01_01_WG01	ER+ Typical	RS6	0	0
CURTIS_H001664_T01_01_WG01	IC1	RS6	27	1.44715803134222
CURTIS_H001665_T01_01_WG01	ER+ Typical	RS6	0	0
