Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
MB-6016	0.0550478016278701	0.891757953692021	0.0531942446801092	ic4ER+	ER+ Typical
MB-6017	0.0558507121827613	0.896216768781086	0.0479325190361523	ic3/ic7	ER+ Typical
MB-6018	0.0324639715965913	0.900478466792746	0.067057561610663	ic8	ER+ Typical
MB-6019	0.617107396479697	0.254542345186271	0.128350258334031	ic1	ER+ High
MB-6021	0.0440596517916511	0.885310376883241	0.0706299713251082	ic3/ic7	ER+ Typical
MB-6022	0.254005904103036	0.745994095896964	0	ic3/ic7	ER+ Typical
MB-6023	0.0571611711737656	0.872735773265364	0.0701030555608708	ic3/ic7	ER+ Typical
MB-6024	0.0603588227425215	0.839647513296666	0.0999936639608123	ic8	ER+ Typical
MB-6026	0.426241082042808	0.573758917957192	0	ic1	ER+ High
MB-6029	0.0551884437056883	0.885708005600465	0.0591035506938462	ic3/ic7	ER+ Typical
MB-6030	0.0478878602617628	0.888336242688026	0.0637758970502107	ic3/ic7	ER+ Typical
MB-6036	0.909413431234339	0.0905865687656607	0	ic5	HER2+
MB-6039	0.323901543410562	0	0.676098456589438	ic9	ER+ High
MB-6042	0.0445940978046013	0.927706876482049	0.02769902571335	ic4ER+	ER+ Typical
MB-6044	0.527873734846954	0.409388101351144	0.0627381638019019	ic3/ic7	ER+ Typical
MB-6047	0.5158174046652	0.0315877788433715	0.452594816491428	ic9	ER+ High
MB-6048	0.368936126870796	0	0.631063873129204	ic9	ER+ High
MB-6049	0.313287346119081	0.315022368589766	0.371690285291153	ic5	HER2+
MB-6050	0.157326254413954	0.824421878323543	0.0182518672625026	ic3/ic7	ER+ Typical
MB-6051	0.375150640314545	0.351082734587872	0.273766625097584	ic8	ER+ Typical
MB-6052	0.275606899431972	0.703368319309139	0.0210247812588886	ic4ER-	IC4ER-
MB-6053	0.19384337217831	0.473169748497243	0.332986879324447	ic1	ER+ High
MB-6055	0.474428474750664	0.525571525249336	0	ic4ER-	IC4ER-
MB-6058	0.659592108606144	0.236497569018575	0.103910322375282	ic10	IC10
MB-6059	0	0.474004624544406	0.525995375455593	ic4ER-	IC4ER-
MB-6060	0.372523557937573	0	0.627476442062427	ic9	ER+ High
MB-6062	0.134326920803667	0.775578817806513	0.0900942613898203	ic10	IC10
MB-6063	0	0.0365149829591333	0.963485017040867	ic5	HER2+
MB-6065	0.437359639162732	0.312646752405819	0.249993608431449	ic8	ER+ Typical
MB-6068	0.46122508377552	0.53877491622448	0	ic10	IC10
MB-6069	0.0442837926189825	0.929035766875493	0.0266804405055246	ic3/ic7	ER+ Typical
MB-6071	0.439358348098576	0.125151532796771	0.435490119104653	ic3/ic7	ER+ Typical
MB-6075	0.44407891509813	0	0.55592108490187	ic3/ic7	ER+ Typical
MB-6077	0.0526666274356949	0.883617970769362	0.063715401794943	ic3/ic7	ER+ Typical
MB-6079	0.435478609907372	0.012229762280002	0.552291627812626	ic3/ic7	ER+ Typical
MB-6080	0.397315428790367	0.343768051414419	0.258916519795214	ic4ER+	ER+ Typical
MB-6082	0	0.620074630524868	0.379925369475132	ic3/ic7	ER+ Typical
MB-6083	0.444723048619456	0	0.555276951380544	ic3/ic7	ER+ Typical
MB-6085	0.447742712035948	0.0847188993180586	0.467538388645993	ic5	HER2+
MB-6092	0	0.670988540285736	0.329011459714264	ic3/ic7	ER+ Typical
MB-6097	0	0.848503629115945	0.151496370884055	ic8	ER+ Typical
MB-6098	0.842267083114807	0.157732916885193	0	ic10	IC10
MB-6100	0.360892615888973	0	0.639107384111027	ic5	HER2+
MB-6101	0.84124000064846	0.0404795855257915	0.118280413825748	ic3/ic7	ER+ Typical
MB-6103	0	0.705921573487603	0.294078426512398	ic3/ic7	ER+ Typical
MB-6105	0.0442837926189825	0.929035766875493	0.0266804405055246	ic3/ic7	ER+ Typical
MB-6107	0.169492550480157	0.830507449519843	0	ic3/ic7	ER+ Typical
MB-6108	0	0.691355236782388	0.308644763217612	ic4ER+	ER+ Typical
MB-6113	0.0229180398174522	0.0164720910938559	0.960609869088692	ic5	HER2+
MB-6114	0.424965678359982	0	0.575034321640018	ic1	ER+ High
MB-6116	0.268805775876024	0	0.731194224123976	ic5	HER2+
MB-6118	0.295595917137956	0.704404082862044	0	ic8	ER+ Typical
MB-6122	0.46704423367922	0.308410256963527	0.224545509357253	ic3/ic7	ER+ Typical
MB-6124	0	0.707083292217616	0.292916707782384	ic4ER+	ER+ Typical
MB-6125	0	0.672380396279725	0.327619603720275	ic4ER+	ER+ Typical
MB-6131	0	0.543325397346832	0.456674602653168	ic10	IC10
MB-6133	0	0.753878208803849	0.246121791196151	ic3/ic7	ER+ Typical
MB-6135	0.278426909424541	0.0612048778903424	0.660368212685117	ic9	ER+ High
MB-6138	0.0427598105018353	0.942762721869079	0.0144774676290853	ic8	ER+ Typical
MB-6141	0.621809210122505	0.250795777439281	0.127395012438213	ic8	ER+ Typical
MB-6143	0.30680287114844	0.0869414772914243	0.606255651560136	ic9	ER+ High
MB-6144	0.410710525762176	0	0.589289474237824	ic4ER+	ER+ Typical
MB-6145	0.101685709054747	0.537652287840866	0.360662003104387	ic4ER+	ER+ Typical
MB-6146	0.623080393249781	0	0.376919606750219	ic4ER+	ER+ Typical
MB-6147	0.0537702044548962	0.900234543031063	0.0459952525140402	ic4ER+	ER+ Typical
MB-6149	0	0.674020420380847	0.325979579619153	ic3/ic7	ER+ Typical
MB-6150	0.0200131127164468	0.732449338714195	0.247537548569358	ic4ER+	ER+ Typical
MB-6152	0.782802545491198	0.215482040121281	0.00171541438752162	ic10	IC10
MB-6154	0.0616998789710931	0.936569041038079	0.00173107999082832	ic3/ic7	ER+ Typical
MB-6156	0	0.646700482928125	0.353299517071875	ic5	HER2+
MB-6157	0.0860387031900899	0.254698953420869	0.659262343389041	ic5	HER2+
