Sample,group,name,value
CURTIS_H000563_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000563_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000564_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000564_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000564_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000566_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000566_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000566_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000569_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000569_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000569_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000570_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000570_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000570_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000571_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000571_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000571_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000572_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000572_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000572_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000573_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H000573_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000573_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H000574_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000574_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000574_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000575_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000575_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000575_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000576_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H000576_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000576_T01_01_WG01,IC4ER-,cell_cycle,TRUE
CURTIS_H000577_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000577_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000577_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000578_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000578_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000578_T01_01_WG01,IC10,cell_cycle,FALSE
