sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H000593_T01_01_WG01	amplicon4	67	9275352	7.22344553608316	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001465_T01_01_WG01	amplicon4	20	3137635	6.3742277224725	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001486_T01_01_WG01	amplicon4	121	11492133	10.528941842215	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001682_T01_01_WG01	amplicon4	20	1760638	11.3595185381663	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H000523_T01_01_WG01	amplicon5	52	6016175	8.64336559358729	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001636_T01_01_WG01	amplicon5	70	3762121	18.606525414786	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001728_T01_01_WG01	amplicon6	97	17596303	5.5125215791067	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H004369_T01_01_WG01	amplicon6	5	1310106	3.81648507830664	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H001728_T01_01_WG01	amplicon7	26	3664953	7.0942246735497	APOBEC3B	noncyclic	APOBEC3B_noncyclic
CURTIS_H000380_T01_01_WG01	amplicon1	37	4240683	8.72500962698697	ESR1	cyclic	ESR1_cyclic
CURTIS_H000387_T01_01_WG01	amplicon1	326	20718901	15.7344252960135	ESR1	cyclic	ESR1_cyclic
CURTIS_H000392_T01_01_WG01	amplicon1	17	3140447	5.41324212763342	ESR1	cyclic	ESR1_cyclic
CURTIS_H000393_T01_01_WG01	amplicon1	116	9440122	12.2879767867407	ESR1	cyclic	ESR1_cyclic
CURTIS_H000394_T01_01_WG01	amplicon1	42	5542614	7.57765198875476	ESR1	cyclic	ESR1_cyclic
CURTIS_H000396_T01_01_WG01	amplicon1	267	31889135	8.37275768063323	ESR1	cyclic	ESR1_cyclic
CURTIS_H000400_T01_01_WG01	amplicon1	305	31635757	9.64098946644457	ESR1	cyclic	ESR1_cyclic
CURTIS_H000402_T01_01_WG01	amplicon1	194	12304171	15.7670110404025	ESR1	cyclic	ESR1_cyclic
CURTIS_H000415_T01_01_WG01	amplicon1	343	22538926	15.2181164266656	ESR1	cyclic	ESR1_cyclic
CURTIS_H000419_T01_01_WG01	amplicon1	173	12319872	14.0423536867916	ESR1	cyclic	ESR1_cyclic
CURTIS_H000429_T01_01_WG01	amplicon1	65	7177232	9.0564161782704	ESR1	cyclic	ESR1_cyclic
CURTIS_H000432_T01_01_WG01	amplicon1	296	28248672	10.4783686822517	ESR1	cyclic	ESR1_cyclic
CURTIS_H000435_T01_01_WG01	amplicon1	29	3459165	8.38352608216145	ESR1	cyclic	ESR1_cyclic
CURTIS_H000497_T01_01_WG01	amplicon1	37	4509200	8.20544664241994	ESR1	cyclic	ESR1_cyclic
CURTIS_H000500_T01_01_WG01	amplicon1	98	7943675	12.3368591993001	ESR1	cyclic	ESR1_cyclic
CURTIS_H000502_T01_01_WG01	amplicon1	276	22286852	12.3839831663978	ESR1	cyclic	ESR1_cyclic
CURTIS_H000511_T01_01_WG01	amplicon1	233	23253823	10.019857810047	ESR1	cyclic	ESR1_cyclic
CURTIS_H000513_T01_01_WG01	amplicon1	81	9658924	8.38602726349229	ESR1	cyclic	ESR1_cyclic
CURTIS_H000518_T01_01_WG01	amplicon1	60	7699040	7.79317940938091	ESR1	cyclic	ESR1_cyclic
CURTIS_H000520_T01_01_WG01	amplicon1	51	4868885	10.474677467223	ESR1	cyclic	ESR1_cyclic
CURTIS_H000529_T01_01_WG01	amplicon1	230	17701987	12.9928917019315	ESR1	cyclic	ESR1_cyclic
CURTIS_H000553_T01_01_WG01	amplicon1	70	6261241	11.1798922929176	ESR1	cyclic	ESR1_cyclic
CURTIS_H000581_T01_01_WG01	amplicon1	32	7143180	4.47979751315241	ESR1	cyclic	ESR1_cyclic
CURTIS_H000587_T01_01_WG01	amplicon1	327	21620105	15.1248109109553	ESR1	cyclic	ESR1_cyclic
CURTIS_H001395_T01_01_WG01	amplicon1	85	6344080	13.3983178017932	ESR1	cyclic	ESR1_cyclic
CURTIS_H001398_T01_01_WG01	amplicon1	220	16238740	13.5478491557843	ESR1	cyclic	ESR1_cyclic
CURTIS_H001399_T01_01_WG01	amplicon1	28	3272230	8.55685572224446	ESR1	cyclic	ESR1_cyclic
CURTIS_H001401_T01_01_WG01	amplicon1	139	10639127	13.064981741453	ESR1	cyclic	ESR1_cyclic
CURTIS_H001404_T01_01_WG01	amplicon1	39	7103085	5.4905720542553	ESR1	cyclic	ESR1_cyclic
CURTIS_H001417_T01_01_WG01	amplicon1	648	51417272	12.6027689683731	ESR1	cyclic	ESR1_cyclic
CURTIS_H001419_T01_01_WG01	amplicon1	282	21468475	13.135539436313	ESR1	cyclic	ESR1_cyclic
CURTIS_H001422_T01_01_WG01	amplicon1	77	12580845	6.12041560006502	ESR1	cyclic	ESR1_cyclic
CURTIS_H001438_T01_01_WG01	amplicon1	199	14015771	14.1982913390922	ESR1	cyclic	ESR1_cyclic
CURTIS_H001440_T01_01_WG01	amplicon1	254	19943322	12.736092813424	ESR1	cyclic	ESR1_cyclic
CURTIS_H001441_T01_01_WG01	amplicon1	446	18850825	23.659441960763	ESR1	cyclic	ESR1_cyclic
CURTIS_H001442_T01_01_WG01	amplicon1	410	28732327	14.2696412998502	ESR1	cyclic	ESR1_cyclic
CURTIS_H001452_T01_01_WG01	amplicon1	109	10501093	10.379871885717	ESR1	cyclic	ESR1_cyclic
CURTIS_H001459_T01_01_WG01	amplicon1	658	51285157	12.8302229824508	ESR1	cyclic	ESR1_cyclic
CURTIS_H001461_T01_01_WG01	amplicon1	68	5879984	11.5646573187954	ESR1	cyclic	ESR1_cyclic
CURTIS_H001462_T01_01_WG01	amplicon1	54	7938662	6.80215381382908	ESR1	cyclic	ESR1_cyclic
CURTIS_H001466_T01_01_WG01	amplicon1	223	22668017	9.83764923063186	ESR1	cyclic	ESR1_cyclic
CURTIS_H001467_T01_01_WG01	amplicon1	119	13237472	8.98963185720053	ESR1	cyclic	ESR1_cyclic
CURTIS_H001478_T01_01_WG01	amplicon1	504	34926082	14.4304763414345	ESR1	cyclic	ESR1_cyclic
CURTIS_H001482_T01_01_WG01	amplicon1	105	4085093	25.7032092047843	ESR1	cyclic	ESR1_cyclic
CURTIS_H001484_T01_01_WG01	amplicon1	105	10231203	10.262722770724	ESR1	cyclic	ESR1_cyclic
CURTIS_H001488_T01_01_WG01	amplicon1	90	11443886	7.86446142507886	ESR1	cyclic	ESR1_cyclic
CURTIS_H001489_T01_01_WG01	amplicon1	208	18114778	11.4823377907253	ESR1	cyclic	ESR1_cyclic
CURTIS_H001511_T01_01_WG01	amplicon1	437	27991139	15.6120835240038	ESR1	cyclic	ESR1_cyclic
CURTIS_H001518_T01_01_WG01	amplicon1	244	28243501	8.63915560609855	ESR1	cyclic	ESR1_cyclic
CURTIS_H001526_T01_01_WG01	amplicon1	55	5642249	9.74788599368798	ESR1	cyclic	ESR1_cyclic
CURTIS_H001530_T01_01_WG01	amplicon1	145	10927450	13.2693354808304	ESR1	cyclic	ESR1_cyclic
CURTIS_H001532_T01_01_WG01	amplicon1	434	35352018	12.2765269015195	ESR1	cyclic	ESR1_cyclic
CURTIS_H001534_T01_01_WG01	amplicon1	242	16943610	14.2826705761051	ESR1	cyclic	ESR1_cyclic
CURTIS_H001541_T01_01_WG01	amplicon1	95	6677480	14.2269239293865	ESR1	cyclic	ESR1_cyclic
CURTIS_H001547_T01_01_WG01	amplicon1	21	5475658	3.83515551920883	ESR1	cyclic	ESR1_cyclic
CURTIS_H001554_T01_01_WG01	amplicon1	70	14395947	4.86247969654237	ESR1	cyclic	ESR1_cyclic
CURTIS_H001556_T01_01_WG01	amplicon1	52	6733451	7.72263732222897	ESR1	cyclic	ESR1_cyclic
CURTIS_H001589_T01_01_WG01	amplicon1	49	6832949	7.17113503993664	ESR1	cyclic	ESR1_cyclic
CURTIS_H001591_T01_01_WG01	amplicon1	206	15425050	13.3548999841167	ESR1	cyclic	ESR1_cyclic
CURTIS_H001596_T01_01_WG01	amplicon1	90	8996477	10.003915977332	ESR1	cyclic	ESR1_cyclic
CURTIS_H001626_T01_01_WG01	amplicon1	159	18126401	8.77173576817593	ESR1	cyclic	ESR1_cyclic
CURTIS_H001627_T01_01_WG01	amplicon1	12	875674	13.7037299268906	ESR1	cyclic	ESR1_cyclic
CURTIS_H001631_T01_01_WG01	amplicon1	547	67618449	8.08950823465353	ESR1	cyclic	ESR1_cyclic
CURTIS_H001637_T01_01_WG01	amplicon1	196	19205042	10.2056532862568	ESR1	cyclic	ESR1_cyclic
CURTIS_H001651_T01_01_WG01	amplicon1	17	3927768	4.32815787490503	ESR1	cyclic	ESR1_cyclic
CURTIS_H001656_T01_01_WG01	amplicon1	91	9238398	9.85019264162466	ESR1	cyclic	ESR1_cyclic
CURTIS_H001658_T01_01_WG01	amplicon1	261	50207042	5.19847395112423	ESR1	cyclic	ESR1_cyclic
CURTIS_H001664_T01_01_WG01	amplicon1	145	14485078	10.0103016359318	ESR1	cyclic	ESR1_cyclic
CURTIS_H001673_T01_01_WG01	amplicon1	721	78837465	9.1453980667694	ESR1	cyclic	ESR1_cyclic
CURTIS_H001678_T01_01_WG01	amplicon1	138	14213372	9.70916683247297	ESR1	cyclic	ESR1_cyclic
CURTIS_H001680_T01_01_WG01	amplicon1	295	16948329	17.4058457326383	ESR1	cyclic	ESR1_cyclic
CURTIS_H001681_T01_01_WG01	amplicon1	182	13751382	13.2350333951889	ESR1	cyclic	ESR1_cyclic
CURTIS_H001684_T01_01_WG01	amplicon1	92	13412655	6.85919379869235	ESR1	cyclic	ESR1_cyclic
CURTIS_H001687_T01_01_WG01	amplicon1	419	30223886	13.8632073982809	ESR1	cyclic	ESR1_cyclic
CURTIS_H001688_T01_01_WG01	amplicon1	10	2824450	3.54051231213157	ESR1	cyclic	ESR1_cyclic
CURTIS_H001690_T01_01_WG01	amplicon1	293	27372912	10.7040127846098	ESR1	cyclic	ESR1_cyclic
CURTIS_H001692_T01_01_WG01	amplicon1	71	9319588	7.61836252847229	ESR1	cyclic	ESR1_cyclic
CURTIS_H001695_T01_01_WG01	amplicon1	58	11172293	5.19141415285117	ESR1	cyclic	ESR1_cyclic
CURTIS_H001698_T01_01_WG01	amplicon1	668	47368480	14.102204672812	ESR1	cyclic	ESR1_cyclic
CURTIS_H001699_T01_01_WG01	amplicon1	346	21776236	15.8888799698901	ESR1	cyclic	ESR1_cyclic
CURTIS_H001700_T01_01_WG01	amplicon1	66	8736165	7.55480236465314	ESR1	cyclic	ESR1_cyclic
CURTIS_H001717_T01_01_WG01	amplicon1	126	5002055	25.1896470550604	ESR1	cyclic	ESR1_cyclic
CURTIS_H001727_T01_01_WG01	amplicon1	248	19127385	12.9657033619598	ESR1	cyclic	ESR1_cyclic
CURTIS_H001730_T01_01_WG01	amplicon1	430	50527280	8.51025426264782	ESR1	cyclic	ESR1_cyclic
CURTIS_H001736_T01_01_WG01	amplicon1	176	13786761	12.7658700981325	ESR1	cyclic	ESR1_cyclic
CURTIS_H001747_T01_01_WG01	amplicon1	73	10965815	6.65705193822803	ESR1	cyclic	ESR1_cyclic
CURTIS_H002049_T01_01_WG01	amplicon1	45	5331562	8.44030323571216	ESR1	cyclic	ESR1_cyclic
CURTIS_H002097_T01_01_WG01	amplicon1	75	8240616	9.10126136201468	ESR1	cyclic	ESR1_cyclic
CURTIS_H003223_T01_01_WG01	amplicon1	539	38687245	13.9322404580631	ESR1	cyclic	ESR1_cyclic
CURTIS_H004018_T01_01_WG01	amplicon1	227	13671560	16.6038111232369	ESR1	cyclic	ESR1_cyclic
CURTIS_H004066_T01_01_WG01	amplicon1	68	8824896	7.7054732429708	ESR1	cyclic	ESR1_cyclic
CURTIS_H004118_T01_01_WG01	amplicon1	164	12849855	12.7627899303144	ESR1	cyclic	ESR1_cyclic
CURTIS_H004158_T01_01_WG01	amplicon1	260	19685786	13.2074990554098	ESR1	cyclic	ESR1_cyclic
CURTIS_H004210_T01_01_WG01	amplicon1	222	14242708	15.5869234979752	ESR1	cyclic	ESR1_cyclic
CURTIS_H004218_T01_01_WG01	amplicon1	197	16938476	11.6303261285136	ESR1	cyclic	ESR1_cyclic
CURTIS_H004221_T01_01_WG01	amplicon1	88	8262709	10.6502601023466	ESR1	cyclic	ESR1_cyclic
CURTIS_H004281_T01_01_WG01	amplicon1	133	18444148	7.21095927011646	ESR1	cyclic	ESR1_cyclic
