LF1 LF3 LF2
CURTIS_H004068_T01_01_WG01 0.42044180083361 1.42855120529886 2.22044604925031e-16
CURTIS_H004069_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004070_T02_01_WG01 2.22044604925031e-16 0.646044898652427 0.900754407621256
CURTIS_H004071_T01_01_WG01 2.22044604925031e-16 0.505436729205621 0.986688376725887
CURTIS_H004072_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004073_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004074_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004075_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004076_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004077_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004078_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004079_T01_01_WG01 2.22044604925031e-16 0.745000333967914 0.840276888039058
CURTIS_H004080_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004081_T01_01_WG01 2.22044604925031e-16 0.954009208060582 0.712539202529483
CURTIS_H004082_T02_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004083_T01_01_WG01 2.22044604925031e-16 0.477560390557845 1.00372525611585
CURTIS_H004084_T01_01_WG01 2.22044604925031e-16 2.11989080262269 2.22044604925031e-16
CURTIS_H004085_T01_01_WG01 2.22044604925031e-16 0.863930052759751 0.767591902376495
CURTIS_H004086_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004087_T01_01_WG01 0.566195226977048 1.1888863700261 2.22044604925031e-16
CURTIS_H004088_T01_01_WG01 0.226032432614001 1.74822183289689 2.22044604925031e-16
CURTIS_H004089_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004090_T02_01_WG01 0.469317921615739 1.34818336938609 2.22044604925031e-16
CURTIS_H004091_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004092_T02_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004093_T02_01_WG01 0.742328290676535 0.899267780504346 2.22044604925031e-16
CURTIS_H004094_T01_01_WG01 0.75824842291976 2.22044604925031e-16 0.533596963254143
CURTIS_H004095_T01_01_WG01 0.729099507926856 0.921020092765196 2.22044604925031e-16
CURTIS_H004096_T01_01_WG01 0.64525972739436 1.0588792685135 2.22044604925031e-16
CURTIS_H004097_T01_01_WG01 0.760070182518053 0.870094486276325 2.22044604925031e-16
CURTIS_H004098_T02_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004099_T01_01_WG01 0.671901020775597 2.22044604925031e-16 0.620370867400325
CURTIS_H004100_T01_01_WG01 2.22044604925031e-16 1.61004589430428 0.311596380010924
CURTIS_H004101_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004102_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004103_T01_01_WG01 0.217337916051791 1.76251837421872 2.22044604925031e-16
CURTIS_H004104_T01_01_WG01 2.22044604925031e-16 0.420649712327243 1.03850673776114
CURTIS_H004105_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004106_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.29559065774401
CURTIS_H004107_T01_01_WG01 1.28922270628715 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H004108_T01_01_WG01 0.953274109127325 0.552405986801228 2.22044604925031e-16
