Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
CURTIS_H004073_T01_01_WG01	11	45	1	113	7	63
CURTIS_H004094_T01_01_WG01	0	32	0	20	4	0
CURTIS_H001411_T01_01_WG01	0	3	0	0	0	0
CURTIS_H004157_T01_01_WG01	7	0	0	1	0	0
CURTIS_H000560_T01_01_WG01	4	144	92	26	7	86
CURTIS_H004372_T01_01_WG01	27	6	14	0	0	1
CURTIS_H004428_T01_01_WG01	82	79	28	92	2	65
CURTIS_H004732_T01_01_WG01	8	65	3	17	2	8
CURTIS_H004516_T01_01_WG01	20	28	18	19	0	9
CURTIS_H004332_T01_01_WG01	0	92	0	73	14	21
CURTIS_H004216_T01_01_WG01	3	83	1	51	3	1
CURTIS_H001663_T01_01_WG01	1	13	8	5	0	0
CURTIS_H004033_T01_01_WG01	26	46	17	2	1	32
CURTIS_H004461_T01_01_WG01	25	26	19	14	3	2
CURTIS_H000568_T01_01_WG01	1	3	0	13	0	3
CURTIS_H001458_T01_01_WG01	22	28	7	9	0	0
CURTIS_H004536_T01_01_WG01	12	216	95	293	7	29
CURTIS_H004555_T01_01_WG01	50	91	18	21	0	0
CURTIS_H000551_T01_01_WG01	0	21	0	65	206	39
CURTIS_H000406_T01_01_WG01	3	0	0	0	167	12
CURTIS_H001684_T01_01_WG01	130	53	28	27	3	10
CURTIS_H001566_T01_01_WG01	8	5	14	4	0	0
CURTIS_H004052_T01_01_WG01	352	0	428	0	6	0
CURTIS_H000477_T01_01_WG01	123	5	46	11	0	7
CURTIS_H004307_T01_01_WG01	0	58	0	103	102	57
CURTIS_H004264_T01_01_WG01	206	119	14	17	0	5
CURTIS_H004393_T01_01_WG01	11	0	0	8	0	0
CURTIS_H001639_T01_01_WG01	1	8	0	2	0	4
CURTIS_H001652_T01_01_WG01	0	57	9	55	12	79
CURTIS_H004620_T01_01_WG01	0	35	0	6	0	1
CURTIS_H001640_T01_01_WG01	19	3	23	4	1	0
CURTIS_H000485_T01_01_WG01	94	50	100	10	6	16
CURTIS_H004329_T01_01_WG01	50	32	35	12	7	30
CURTIS_H004554_T01_01_WG01	18	7	23	4	2	6
CURTIS_H001729_T01_01_WG01	34	0	2	1	0	1
CURTIS_H004748_T01_01_WG01	0	32	6	29	0	4
CURTIS_H001709_T01_01_WG01	24	33	0	2	0	1
CURTIS_H004521_T01_01_WG01	2	9	8	0	0	0
CURTIS_H004037_T01_01_WG01	0	27	0	36	6	17
CURTIS_H004450_T01_01_WG01	250	81	551	11	5	28
CURTIS_H004517_T01_01_WG01	26	53	37	22	1	0
CURTIS_H000487_T01_01_WG01	40	46	18	10	0	18
CURTIS_H004416_T01_01_WG01	0	43	0	5	0	87
CURTIS_H002096_T01_01_WG01	10	57	24	36	98	8
CURTIS_H004404_T01_01_WG01	76	44	6	0	0	2
CURTIS_H004558_T01_01_WG01	41	24	9	17	23	48
