LF3 LF1 LF2
CURTIS_H000432_T01_01_WG01 1.55458457851541 2.22044604925031e-16 2.22044604925031e-16
CURTIS_H000433_T01_01_WG01 2.22044604925031e-16 0.41864426985457 1.10400161562599
CURTIS_H000434_T01_01_WG01 2.22044604925031e-16 0.339459784710727 0.417087312782766
CURTIS_H000435_T01_01_WG01 0.265472000213706 0.599401875456253 0.653968977490604
CURTIS_H000436_T01_01_WG01 0.500224336064949 2.22044604925031e-16 1.04311856411939
CURTIS_H000437_T01_01_WG01 0.792637659369092 0.327010952944369 0.414811240447615
CURTIS_H000438_T01_01_WG01 0.878149401889153 2.22044604925031e-16 0.669222967400897
CURTIS_H000439_T01_01_WG01 1.06739280194505 2.22044604925031e-16 0.48199729652717
CURTIS_H000440_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 1.53800946588645
CURTIS_H000441_T01_01_WG01 2.22044604925031e-16 1.4835647640956 2.29044480231012e-07
CURTIS_H000442_T01_01_WG01 0.882666550473342 2.22044604925031e-16 0.664753981038037
CURTIS_H000443_T01_01_WG01 0.572335512819117 0.510230557290475 0.442821033730262
CURTIS_H000444_T01_01_WG01 0.71915164944622 2.22044604925031e-16 0.826525472321814
CURTIS_H000445_T01_01_WG01 0.522993510771764 0.157461743086479 0.857351817084404
CURTIS_H000446_T01_01_WG01 0.38542754301702 2.22044604925031e-16 0.387686651080072
CURTIS_H000447_T01_01_WG01 2.22044604925031e-16 0.699826145049814 0.812500811785817
CURTIS_H000448_T01_01_WG01 0.924958144693944 2.22044604925031e-16 0.622913303381998
CURTIS_H000449_T01_01_WG01 2.22044604925031e-16 2.22044604925031e-16 0.769004732943225
CURTIS_H000450_T01_01_WG01 0.876586257344259 2.22044604925031e-16 0.670769445566075
CURTIS_H000451_T01_01_WG01 0.573038988435836 2.22044604925031e-16 0.971080267747891
CURTIS_H000452_T01_01_WG01 0.984499796400063 2.22044604925031e-16 0.56400648981642
CURTIS_H000453_T01_01_WG01 0.264146062494532 0.597642996519342 0.657104204952291
CURTIS_H000454_T01_01_WG01 1.41321232811305 2.22044604925031e-16 0.139864927478018
CURTIS_H000455_T01_01_WG01 0.022017394647591 1.46255343235605 2.22044604925031e-16
CURTIS_H000456_T01_01_WG01 1.06917362335397 2.22044604925031e-16 0.480235462387146
CURTIS_H000457_T01_01_WG01 0.299287708738335 0.0320411683259083 1.20869575972184
CURTIS_H000458_T01_01_WG01 0.842273665263179 2.22044604925031e-16 0.704716193880148
CURTIS_H000459_T01_01_WG01 0.234731552608907 2.22044604925031e-16 1.30578064100033
CURTIS_H000460_T01_01_WG01 1.13584764428525 2.22044604925031e-16 0.414272325522027
CURTIS_H000461_T01_01_WG01 0.777292289257705 2.22044604925031e-16 3.33072365501855e-16
CURTIS_H000462_T01_01_WG01 0.378839880465175 0.348513520777578 0.801905394383632
CURTIS_H000463_T01_01_WG01 0.993090069495126 0.535843211352174 2.22044604925031e-16
CURTIS_H000464_T01_01_WG01 0.684231400070344 0.0411176226538622 0.818446824876569
CURTIS_H000465_T01_01_WG01 0.558020748599221 7.79785190905334e-11 0.985938381756749
CURTIS_H000466_T01_01_WG01 0.472366594424442 2.22044604925031e-16 1.07067928415576
CURTIS_H000467_T01_01_WG01 2.22044604925031e-16 1.48356498503206 2.22044604925031e-16
