Sample,group,cohort,ecdna,FGFR1,MYC,CCND1,ERBB2,MSI2,PPM1D,TypeI_IFN,Cohort,SampleToJoin,label
CURTIS_H001568,ER+ High,NikZainal,FALSE,2.2,2.2,2.2,2.2,2.2,2.2,0.0296765856786987,Nik-Zainal,CURTIS_H001568,ic6
CURTIS_H001670,ER+ High,NikZainal,FALSE,1.9,1.9,1.9,1.9,1.9,1.9,0.22767932791411,Nik-Zainal,CURTIS_H001670,ic1
CURTIS_H001678,ER+ High,NikZainal,TRUE,3.6,3.6,3.6,3.6,3.6,3.6,-0.204464245828209,Nik-Zainal,CURTIS_H001678,ic6
CURTIS_H001680,ER+ High,NikZainal,TRUE,2.1,2.1,2.1,2.1,2.1,2.1,0.106960541337664,Nik-Zainal,CURTIS_H001680,ic2
CURTIS_H001686,IC10,NikZainal,FALSE,3,3,3,3,3,3,-0.229425488720078,Nik-Zainal,CURTIS_H001686,IC10
CURTIS_H001692,ER+ High,NikZainal,TRUE,3.9,3.9,3.9,3.9,3.9,3.9,-0.136199517886381,Nik-Zainal,CURTIS_H001692,ic6
CURTIS_H001715,ER+ High,NikZainal,FALSE,2.4,2.4,2.4,2.4,2.4,2.4,0.252164309678287,Nik-Zainal,CURTIS_H001715,ic6
CURTIS_H001716,ER+ High,NikZainal,FALSE,2.6,2.6,2.6,2.6,2.6,2.6,-0.0223254523172464,Nik-Zainal,CURTIS_H001716,ic6
CURTIS_H001717,ER+ High,NikZainal,TRUE,2,2,2,2,2,2,0.345269287291464,Nik-Zainal,CURTIS_H001717,ic6
CURTIS_H001728,ER+ High,NikZainal,TRUE,3.7,3.7,3.7,3.7,3.7,3.7,0.0397991704105019,Nik-Zainal,CURTIS_H001728,ic6
CURTIS_H001743,ER+ High,NikZainal,FALSE,2.2,2.2,2.2,2.2,2.2,2.2,0.297386639823927,Nik-Zainal,CURTIS_H001743,ic9
CURTIS_H002033,IC10,NikZainal,FALSE,3,3,3,3,3,3,-0.0579316453115942,Nik-Zainal,CURTIS_H002033,IC10
CURTIS_H002037,IC10,NikZainal,FALSE,3.9,3.9,3.9,3.9,3.9,3.9,-0.0502084161302526,Nik-Zainal,CURTIS_H002037,IC10
CURTIS_H002038,IC10,NikZainal,FALSE,1.8,1.8,1.8,1.8,1.8,1.8,0.161109844876734,Nik-Zainal,CURTIS_H002038,IC10
CURTIS_H002039,IC10,NikZainal,TRUE,3.3,3.3,3.3,3.3,3.3,3.3,0.357715427388502,Nik-Zainal,CURTIS_H002039,IC10
CURTIS_H002040,IC10,NikZainal,FALSE,1.7,1.7,1.7,1.7,1.7,1.7,0.248542312082409,Nik-Zainal,CURTIS_H002040,IC10
CURTIS_H002041,IC10,NikZainal,TRUE,2.5,2.5,2.5,2.5,2.5,2.5,0.282848175340849,Nik-Zainal,CURTIS_H002041,IC10
CURTIS_H002044,IC10,NikZainal,FALSE,3.2,3.2,3.2,3.2,3.2,3.2,-0.160510305335113,Nik-Zainal,CURTIS_H002044,IC10
CURTIS_H002045,IC10,NikZainal,TRUE,2.7,2.7,2.7,2.7,2.7,2.7,0.303570416806352,Nik-Zainal,CURTIS_H002045,IC10
CURTIS_H002046,IC10,NikZainal,FALSE,2.6,2.6,2.6,2.6,2.6,2.6,-0.196181918550894,Nik-Zainal,CURTIS_H002046,IC10
CURTIS_H002048,IC10,NikZainal,FALSE,3.8,3.8,3.8,3.8,3.8,3.8,0.123275181642968,Nik-Zainal,CURTIS_H002048,IC10
CURTIS_H002092,IC10,NikZainal,FALSE,3.3,3.3,3.3,3.3,3.3,3.3,-0.0994522527633995,Nik-Zainal,CURTIS_H002092,IC10
CURTIS_H002093,IC10,NikZainal,FALSE,2.8,2.8,2.8,2.8,2.8,2.8,0.22538925016537,Nik-Zainal,CURTIS_H002093,IC10
CURTIS_H002095,IC10,NikZainal,FALSE,3.4,3.4,3.4,3.4,3.4,3.4,-0.21183491142387,Nik-Zainal,CURTIS_H002095,IC10
CURTIS_H004018,HER2+,Hartwig,TRUE,3,12,3,64,3,7,0.291774452654679,Hartwig,CURTIS_H004018,HER2+
CURTIS_H004047,IC10,Hartwig,TRUE,2,4,2,3,3,3,-0.103138141406359,Hartwig,CURTIS_H004047,IC10
CURTIS_H004098,IC10,Hartwig,FALSE,1,4,2,3,2,2,-0.173828918951275,Hartwig,CURTIS_H004098,IC10
CURTIS_H004118,ER+ High,Hartwig,TRUE,10,1,12,1,1,1,-0.309729848756007,Hartwig,CURTIS_H004118,ic2
CURTIS_H004127,ER+ High,Hartwig,FALSE,2,4,2,1,1,1,-0.00394182454066477,Hartwig,CURTIS_H004127,ic9
CURTIS_H004158,HER2+,Hartwig,TRUE,2,17,3,47,21,60,-0.0369554463191198,Hartwig,CURTIS_H004158,HER2+
CURTIS_H004176,IC10,Hartwig,TRUE,2,2,2,2,2,2,-0.0749297811668582,Hartwig,CURTIS_H004176,IC10
CURTIS_H004188,ER+ High,Hartwig,TRUE,2,2,14,3,3,3,0.010954997728659,Hartwig,CURTIS_H004188,ic1
CURTIS_H004188,ER+ High,Hartwig,TRUE,2,2,14,3,3,3,0.0232038696782405,Hartwig,CURTIS_H004188,ic1
CURTIS_H004195,IC10,Hartwig,FALSE,2,3,2.9,2,5,4,0.140224156119771,Hartwig,CURTIS_H004195,IC10
CURTIS_H004210,ER+ High,Hartwig,TRUE,1,1,2,2,4,15,0.041991383235835,Hartwig,CURTIS_H004210,ic1
CURTIS_H004218,ER+ High,Hartwig,TRUE,1,1,1.8,1.8,1,1,-0.347676578783948,Hartwig,CURTIS_H004218,ic2
CURTIS_H004289,HER2+,Hartwig,FALSE,2,4,2,26,4,4,-0.150201810180677,Hartwig,CURTIS_H004289,HER2+
CURTIS_H004297,ER+ High,Hartwig,TRUE,1,7,9,1,1,1,-0.260834804737394,Hartwig,CURTIS_H004297,ic9
CURTIS_H004303,ER+ High,Hartwig,TRUE,14,3,3,4,4,4,0.108529322820425,Hartwig,CURTIS_H004303,ic6
CURTIS_H004304,HER2+,Hartwig,TRUE,4,2,2,32,2,9,-0.153858886668077,Hartwig,CURTIS_H004304,HER2+
CURTIS_H004369,HER2+,Hartwig,TRUE,3,17,2,13,1,1,-0.22774203155517,Hartwig,CURTIS_H004369,HER2+
CURTIS_H004389,HER2+,Hartwig,TRUE,3,4,8,95,3,3,0.445844892196398,Hartwig,CURTIS_H004389,HER2+
CURTIS_H004463,ER+ High,Hartwig,FALSE,12,11,3,3,2,2,0.18211134245371,Hartwig,CURTIS_H004463,ic9
CURTIS_H004470,IC10,Hartwig,FALSE,2,7,3,3,3,3,-0.025110708664031,Hartwig,CURTIS_H004470,IC10
CURTIS_H004482,ER+ High,Hartwig,TRUE,13,9,3.9,3.9,3,3,-0.263353312770823,Hartwig,CURTIS_H004482,ic9
CURTIS_H004536,ER+ High,Hartwig,TRUE,3.2,11,3.2,3.2,3,3,-0.202059575999899,Hartwig,CURTIS_H004536,ic6
