donor	sample	myc_cn	myc_rna
CURTIS_H004180	CURTIS_H004180_T01_01_WG01	4	11.3103893172201
CURTIS_H004181	CURTIS_H004181_T01_01_WG01	9	9.12452444688385
CURTIS_H004183	CURTIS_H004183_T01_01_WG01	2	9.32498243428533
CURTIS_H004184	CURTIS_H004184_T01_01_WG01	2	8.92014153877926
CURTIS_H004185	CURTIS_H004185_T01_01_WG01	2	11.753540013777
CURTIS_H004186	CURTIS_H004186_T01_01_WG01	8	10.3667599619211
CURTIS_H004187	CURTIS_H004187_T01_01_WG01	11	10.6609667708369
CURTIS_H004188	CURTIS_H004188_T02_01_WG01	5	8.86325469922995
CURTIS_H004189	CURTIS_H004189_T01_01_WG01	12	11.3470423571764
CURTIS_H004190	CURTIS_H004190_T01_01_WG01	5	9.76608264161469
CURTIS_H004191	CURTIS_H004191_T01_01_WG01	2	11.5963189569994
CURTIS_H004192	CURTIS_H004192_T01_01_WG01	2	9.95978447756352
CURTIS_H004193	CURTIS_H004193_T01_01_WG01	5	11.478646106905
CURTIS_H004196	CURTIS_H004196_T01_01_WG01	2	7.94373218793983
CURTIS_H004197	CURTIS_H004197_T01_01_WG01	22	12.7476552757371
CURTIS_H004198	CURTIS_H004198_T01_01_WG01	3	9.88826713457786
CURTIS_H004199	CURTIS_H004199_T01_01_WG01	8	9.12995185685861
CURTIS_H004200	CURTIS_H004200_T01_01_WG01	2	9.79434887366984
CURTIS_H004202	CURTIS_H004202_T01_01_WG01	6	10.6990143269993
CURTIS_H004203	CURTIS_H004203_T01_01_WG01	6	10.3684088580523
CURTIS_H004204	CURTIS_H004204_T01_01_WG01	2	8.3093236800888
CURTIS_H004205	CURTIS_H004205_T01_01_WG01	3	9.76577157601193
CURTIS_H004206	CURTIS_H004206_T01_01_WG01	7	11.8466746421624
CURTIS_H004207	CURTIS_H004207_T01_01_WG01	4	9.43583638126671
CURTIS_H004209	CURTIS_H004209_T01_01_WG01	5	10.0417150548636
CURTIS_H004212	CURTIS_H004212_T01_01_WG01	2	8.15750545128453
CURTIS_H004214	CURTIS_H004214_T01_01_WG01	2	9.39540656043414
CURTIS_H004215	CURTIS_H004215_T01_01_WG01	6	8.86278923035313
CURTIS_H004216	CURTIS_H004216_T01_01_WG01	5	9.15720344658632
CURTIS_H004217	CURTIS_H004217_T01_01_WG01	2	10.0772616009395
CURTIS_H004219	CURTIS_H004219_T01_01_WG01	6	10.8423369339509
CURTIS_H004220	CURTIS_H004220_T01_01_WG01	2	7.33375950554449
CURTIS_H004222	CURTIS_H004222_T01_01_WG01	2	9.58447914133986
CURTIS_H004223	CURTIS_H004223_T01_01_WG01	2	9.89229967575951
CURTIS_H004224	CURTIS_H004224_T01_01_WG01	5	8.1276486304841
CURTIS_H004225	CURTIS_H004225_T01_01_WG01	3	11.333536988424
