Freq	Experiment	code
2	complex_baseline	d
-16	complex_baseline	d
-38	complex_baseline	d
2	complex_baseline	d
1	complex_baseline	d
2	complex_baseline	d
42	complex_baseline	d
8	complex_baseline	d
27	complex_baseline	d
7	complex_baseline	d
