Sample	Subtype	Cohort	Cell type	Proportion
TCGA-AR-A1AQ	IC10	TCGA	CAFs	0.151120895683601
TCGA-AR-A1AQ	IC10	TCGA	T-cells	0.154827816398241
TCGA-AR-A1AR	IC10	TCGA	CAFs	0.338541474231003
TCGA-AR-A1AR	IC10	TCGA	T-cells	0.232052365422722
TCGA-AR-A1AY	IC10	TCGA	CAFs	0.225798865811272
TCGA-AR-A1AY	IC10	TCGA	T-cells	0.114655904843297
TCGA-AR-A24Q	IC10	TCGA	CAFs	0.281197147584805
TCGA-AR-A24Q	IC10	TCGA	T-cells	0.139619520572629
TCGA-AR-A251	IC10	TCGA	CAFs	0.168750502552896
TCGA-AR-A251	IC10	TCGA	T-cells	0.158352936423094
TCGA-AR-A256	IC10	TCGA	CAFs	0.154645312714848
TCGA-AR-A256	IC10	TCGA	T-cells	0.197794186256728
TCGA-AR-A2LH	IC4ER-	TCGA	CAFs	0.0765686254313164
TCGA-AR-A2LH	IC4ER-	TCGA	T-cells	0.088950943317524
TCGA-AR-A2LR	IC10	TCGA	CAFs	0.390201176379193
TCGA-AR-A2LR	IC10	TCGA	T-cells	0.10921949505964
TCGA-AR-A5QQ	IC4ER-	TCGA	CAFs	0.178258809482722
TCGA-AR-A5QQ	IC4ER-	TCGA	T-cells	0.30675532776361
TCGA-B6-A0I2	IC10	TCGA	CAFs	0.024673120842109
TCGA-B6-A0I2	IC10	TCGA	T-cells	0.151888751727665
TCGA-B6-A0IJ	IC10	TCGA	CAFs	0.0216635633428257
TCGA-B6-A0IJ	IC10	TCGA	T-cells	0.106857602623377
TCGA-B6-A0IK	IC4ER-	TCGA	CAFs	0.1539789840556
TCGA-B6-A0IK	IC4ER-	TCGA	T-cells	0.0491610796355423
TCGA-B6-A0RE	IC10	TCGA	CAFs	0.220982408869933
TCGA-B6-A0RE	IC10	TCGA	T-cells	0.0791276947810217
TCGA-B6-A0RS	IC10	TCGA	CAFs	0.105769659468512
TCGA-B6-A0RS	IC10	TCGA	T-cells	0.111296903818929
TCGA-B6-A0RT	IC10	TCGA	CAFs	0.0975120318876996
TCGA-B6-A0RT	IC10	TCGA	T-cells	0.355294221087006
TCGA-B6-A0RU	IC10	TCGA	CAFs	0.160027194912648
TCGA-B6-A0RU	IC10	TCGA	T-cells	0.134261770396474
TCGA-B6-A0X1	IC10	TCGA	CAFs	0.0376285320898053
TCGA-B6-A0X1	IC10	TCGA	T-cells	0.261604527055201
TCGA-B6-A3ZX	IC4ER-	TCGA	CAFs	0.0651628589820921
TCGA-B6-A3ZX	IC4ER-	TCGA	T-cells	0.306058988189378
TCGA-B6-A400	IC10	TCGA	CAFs	0.292309768716767
TCGA-B6-A400	IC10	TCGA	T-cells	0.1082410479617
TCGA-B6-A409	IC10	TCGA	CAFs	0.0793182116598057
TCGA-B6-A409	IC10	TCGA	T-cells	0.0867791529198834
TCGA-BH-A0AV	IC10	TCGA	CAFs	0.642356694016296
TCGA-BH-A0AV	IC10	TCGA	T-cells	0.130928219096493
TCGA-BH-A0B3	IC10	TCGA	CAFs	0.224377054091776
TCGA-BH-A0B3	IC10	TCGA	T-cells	0.0890358321613825
TCGA-BH-A0B9	IC4ER-	TCGA	CAFs	0.0210208621754563
TCGA-BH-A0B9	IC4ER-	TCGA	T-cells	0.0193973175726153
TCGA-BH-A0BG	IC10	TCGA	CAFs	0.102995946724561
TCGA-BH-A0BG	IC10	TCGA	T-cells	0.014341719560364
TCGA-BH-A0BL	IC10	TCGA	CAFs	0.38027994684176
TCGA-BH-A0BL	IC10	TCGA	T-cells	0.132239179676603
TCGA-BH-A0BW	IC10	TCGA	CAFs	0.135182020350326
TCGA-BH-A0BW	IC10	TCGA	T-cells	0.0746199601436843
TCGA-BH-A0DL	IC10	TCGA	CAFs	0.0894889487078976
TCGA-BH-A0DL	IC10	TCGA	T-cells	0.228063761430412
TCGA-BH-A0E0	IC10	TCGA	CAFs	0.0655081130938593
TCGA-BH-A0E0	IC10	TCGA	T-cells	0.122501745346227
TCGA-BH-A0RX	IC10	TCGA	CAFs	0.160275809209742
TCGA-BH-A0RX	IC10	TCGA	T-cells	0.12212538189243
TCGA-BH-A18Q	IC10	TCGA	CAFs	0.0500795605053028
TCGA-BH-A18Q	IC10	TCGA	T-cells	0
TCGA-BH-A18T	IC10	TCGA	CAFs	0.16780268561439
TCGA-BH-A18T	IC10	TCGA	T-cells	0.189728902516975
TCGA-BH-A1F0	IC10	TCGA	CAFs	0.130622866168725
TCGA-BH-A1F0	IC10	TCGA	T-cells	0.246267291490203
TCGA-BH-A1F6	IC10	TCGA	CAFs	0.232562639011148
TCGA-BH-A1F6	IC10	TCGA	T-cells	0.185900719213126
TCGA-BH-A1FC	IC10	TCGA	CAFs	0.134921704412296
TCGA-BH-A1FC	IC10	TCGA	T-cells	0.183632976533416
TCGA-BH-A1FN	IC10	TCGA	CAFs	0.380201058420139
TCGA-BH-A1FN	IC10	TCGA	T-cells	0.0841464628537795
TCGA-BH-A203	IC10	TCGA	CAFs	0.155715495748451
TCGA-BH-A203	IC10	TCGA	T-cells	0.115866129189153
TCGA-BH-A208	IC4ER-	TCGA	CAFs	0.642159515862527
TCGA-BH-A208	IC4ER-	TCGA	T-cells	0.0596354252286041
TCGA-BH-A209	IC10	TCGA	CAFs	0.10720085430191
TCGA-BH-A209	IC10	TCGA	T-cells	0.177032065684731
TCGA-BH-A42U	IC4ER-	TCGA	CAFs	NA
TCGA-BH-A42U	IC4ER-	TCGA	T-cells	NA
TCGA-BH-A5IZ	IC10	TCGA	CAFs	0.154976600011515
TCGA-BH-A5IZ	IC10	TCGA	T-cells	0.0934689123601051
TCGA-C8-A12K	IC10	TCGA	CAFs	0.103759944813377
TCGA-C8-A12K	IC10	TCGA	T-cells	0.0897900283901938
TCGA-C8-A12L	IC10	TCGA	CAFs	0.225572334234834
TCGA-C8-A12L	IC10	TCGA	T-cells	0.100459700913303
TCGA-C8-A12V	IC4ER-	TCGA	CAFs	0.0524919677024684
TCGA-C8-A12V	IC4ER-	TCGA	T-cells	0.155879452316344
TCGA-C8-A134	IC10	TCGA	CAFs	0.0504640884890371
TCGA-C8-A134	IC10	TCGA	T-cells	0.0497065351353246
TCGA-C8-A1HJ	IC10	TCGA	CAFs	0.127203118105577
TCGA-C8-A1HJ	IC10	TCGA	T-cells	0.224997462453543
TCGA-C8-A26X	IC4ER-	TCGA	CAFs	0.179161813131601
TCGA-C8-A26X	IC4ER-	TCGA	T-cells	0.180151950159662
TCGA-C8-A26Y	IC10	TCGA	CAFs	0.0889248766930614
TCGA-C8-A26Y	IC10	TCGA	T-cells	0.0707384416780508
TCGA-C8-A27B	IC10	TCGA	CAFs	0.053349421102945
TCGA-C8-A27B	IC10	TCGA	T-cells	0.276116487273167
TCGA-D8-A13Z	IC10	TCGA	CAFs	0.325612439608305
TCGA-D8-A13Z	IC10	TCGA	T-cells	0.139650265829286
TCGA-D8-A142	IC10	TCGA	CAFs	0.368862058109429
TCGA-D8-A142	IC10	TCGA	T-cells	0.104750543818452
TCGA-D8-A143	IC4ER-	TCGA	CAFs	0.121327743499225
TCGA-D8-A143	IC4ER-	TCGA	T-cells	0.085315729227612
TCGA-D8-A147	IC10	TCGA	CAFs	0.176873071532449
TCGA-D8-A147	IC10	TCGA	T-cells	0.166862397931243
TCGA-D8-A1JF	IC10	TCGA	CAFs	0.316141267754453
TCGA-D8-A1JF	IC10	TCGA	T-cells	0.0570974719630307
TCGA-D8-A1JG	IC4ER-	TCGA	CAFs	0.244305187597053
TCGA-D8-A1JG	IC4ER-	TCGA	T-cells	0.0920911709357349
TCGA-D8-A1JK	IC4ER-	TCGA	CAFs	0.272707427426787
TCGA-D8-A1JK	IC4ER-	TCGA	T-cells	0.103934555286305
TCGA-D8-A1JL	IC10	TCGA	CAFs	0.278499264860279
TCGA-D8-A1JL	IC10	TCGA	T-cells	0.247769865569112
TCGA-D8-A1JM	IC10	TCGA	CAFs	0.00011802353548189
TCGA-D8-A1JM	IC10	TCGA	T-cells	0.182244176271122
TCGA-D8-A1XK	IC10	TCGA	CAFs	0.07179102857585
TCGA-D8-A1XK	IC10	TCGA	T-cells	0.315363818445198
TCGA-D8-A1XQ	IC10	TCGA	CAFs	0.197790881232548
TCGA-D8-A1XQ	IC10	TCGA	T-cells	0.0950273124808257
TCGA-D8-A1XW	IC4ER-	TCGA	CAFs	0.0839973551136675
TCGA-D8-A1XW	IC4ER-	TCGA	T-cells	0.104490726208083
TCGA-D8-A27F	IC10	TCGA	CAFs	0.34238931151243
TCGA-D8-A27F	IC10	TCGA	T-cells	0.108742926164902
TCGA-D8-A27M	IC4ER-	TCGA	CAFs	0.290465852980768
TCGA-D8-A27M	IC4ER-	TCGA	T-cells	0
TCGA-E2-A14N	IC10	TCGA	CAFs	0.0536772302632213
TCGA-E2-A14N	IC10	TCGA	T-cells	0.216701213481989
TCGA-E2-A14R	IC10	TCGA	CAFs	0.0381889398513198
TCGA-E2-A14R	IC10	TCGA	T-cells	0.0343120233126605
TCGA-E2-A150	IC10	TCGA	CAFs	0.181264100748952
TCGA-E2-A150	IC10	TCGA	T-cells	0.130178962672259
TCGA-E2-A158	IC10	TCGA	CAFs	0.037183089617589
TCGA-E2-A158	IC10	TCGA	T-cells	0.0822104106534185
TCGA-E2-A159	IC10	TCGA	CAFs	0.196575218589557
TCGA-E2-A159	IC10	TCGA	T-cells	0.179832255416958
TCGA-E2-A1AZ	IC10	TCGA	CAFs	0.368740118440686
TCGA-E2-A1AZ	IC10	TCGA	T-cells	0.257102992333711
TCGA-E2-A1B6	IC10	TCGA	CAFs	0.00776914104152457
TCGA-E2-A1B6	IC10	TCGA	T-cells	0.21424100981822
TCGA-E2-A1II	IC10	TCGA	CAFs	0.0260318107191368
TCGA-E2-A1II	IC10	TCGA	T-cells	0.243809503394167
TCGA-E2-A1L7	IC4ER-	TCGA	CAFs	0.158294338007246
TCGA-E2-A1L7	IC4ER-	TCGA	T-cells	0.0498227032983536
TCGA-E2-A1LH	IC10	TCGA	CAFs	0.0925678564319329
TCGA-E2-A1LH	IC10	TCGA	T-cells	0.0211700805616559
TCGA-E2-A1LI	IC10	TCGA	CAFs	0.0346488812884624
TCGA-E2-A1LI	IC10	TCGA	T-cells	0.153025383187788
TCGA-E2-A1LL	IC10	TCGA	CAFs	0.106207429918274
TCGA-E2-A1LL	IC10	TCGA	T-cells	0.118213899329391
TCGA-E2-A573	IC4ER-	TCGA	CAFs	0.102895999599408
TCGA-E2-A573	IC4ER-	TCGA	T-cells	0.212233585355213
TCGA-E2-A574	IC10	TCGA	CAFs	0.0833089317355768
TCGA-E2-A574	IC10	TCGA	T-cells	0.0432949455433951
TCGA-E9-A1N9	IC10	TCGA	CAFs	0.230717100866028
TCGA-E9-A1N9	IC10	TCGA	T-cells	0.0981725040770666
TCGA-E9-A1NC	IC10	TCGA	CAFs	0.166237290068189
TCGA-E9-A1NC	IC10	TCGA	T-cells	0.0756539259988242
TCGA-E9-A1ND	IC4ER-	TCGA	CAFs	0.156932060214053
TCGA-E9-A1ND	IC4ER-	TCGA	T-cells	0.174176098354721
TCGA-E9-A1RH	IC4ER-	TCGA	CAFs	0.365004949902498
TCGA-E9-A1RH	IC4ER-	TCGA	T-cells	0.147834461090384
TCGA-E9-A22G	IC10	TCGA	CAFs	0.127192676170837
TCGA-E9-A22G	IC10	TCGA	T-cells	0.205403041126085
TCGA-E9-A244	IC10	TCGA	CAFs	0.130782275331989
TCGA-E9-A244	IC10	TCGA	T-cells	0.11900438014099
TCGA-E9-A248	IC10	TCGA	CAFs	0.0825583650602687
TCGA-E9-A248	IC10	TCGA	T-cells	0.272835260948911
TCGA-E9-A3QA	IC10	TCGA	CAFs	0.0903895500651849
TCGA-E9-A3QA	IC10	TCGA	T-cells	0.10628010601926
TCGA-EW-A1OV	IC4ER-	TCGA	CAFs	0.152929048359775
TCGA-EW-A1OV	IC4ER-	TCGA	T-cells	0.259483673268754
TCGA-EW-A1P1	IC4ER-	TCGA	CAFs	0.304128139693804
TCGA-EW-A1P1	IC4ER-	TCGA	T-cells	0.143774286956657
TCGA-EW-A1P4	IC10	TCGA	CAFs	0.253733281577687
TCGA-EW-A1P4	IC10	TCGA	T-cells	0.0319483721566474
TCGA-EW-A1P7	IC4ER-	TCGA	CAFs	0.139503749584242
TCGA-EW-A1P7	IC4ER-	TCGA	T-cells	0.172545886573798
TCGA-EW-A1P8	IC10	TCGA	CAFs	0.146089082716149
TCGA-EW-A1P8	IC10	TCGA	T-cells	0.126493222735512
TCGA-EW-A1PB	IC10	TCGA	CAFs	0.022815270619824
TCGA-EW-A1PB	IC10	TCGA	T-cells	0.181088196728781
TCGA-EW-A1PH	IC10	TCGA	CAFs	0.167967188677833
TCGA-EW-A1PH	IC10	TCGA	T-cells	0.0855377666894651
TCGA-EW-A3U0	IC4ER-	TCGA	CAFs	0.192841362539991
TCGA-EW-A3U0	IC4ER-	TCGA	T-cells	0.14509980996624
TCGA-EW-A6SB	IC10	TCGA	CAFs	0
TCGA-EW-A6SB	IC10	TCGA	T-cells	0
TCGA-GI-A2C9	IC10	TCGA	CAFs	0.251245414750518
TCGA-GI-A2C9	IC10	TCGA	T-cells	0.0680977884032896
TCGA-GM-A2DB	IC4ER-	TCGA	CAFs	0.0585783872024112
TCGA-GM-A2DB	IC4ER-	TCGA	T-cells	0.0799011419838207
TCGA-GM-A2DD	IC4ER-	TCGA	CAFs	0.258477653183007
TCGA-GM-A2DD	IC4ER-	TCGA	T-cells	0.10856309404636
TCGA-GM-A2DH	IC4ER-	TCGA	CAFs	0.114898013367203
TCGA-GM-A2DH	IC4ER-	TCGA	T-cells	0.205728755728984
TCGA-GM-A3XL	IC10	TCGA	CAFs	0.0413061829963066
TCGA-GM-A3XL	IC10	TCGA	T-cells	0.123245824747494
TCGA-LD-A9QF	IC4ER-	TCGA	CAFs	0.298875126445283
TCGA-LD-A9QF	IC4ER-	TCGA	T-cells	0.22055735177018
TCGA-LL-A441	IC10	TCGA	CAFs	0.143441001368751
TCGA-LL-A441	IC10	TCGA	T-cells	0.207440828971634
TCGA-LL-A5YP	IC10	TCGA	CAFs	0.444156597043551
TCGA-LL-A5YP	IC10	TCGA	T-cells	0.0944359985401872
TCGA-LL-A740	IC4ER-	TCGA	CAFs	0.407277346196882
TCGA-LL-A740	IC4ER-	TCGA	T-cells	0.0766329062570533
TCGA-LL-A8F5	IC10	TCGA	CAFs	0.0899605176091733
TCGA-LL-A8F5	IC10	TCGA	T-cells	0.0504139892813418
TCGA-OL-A5D6	IC4ER-	TCGA	CAFs	0.411182578564546
TCGA-OL-A5D6	IC4ER-	TCGA	T-cells	0.0679486430166591
TCGA-OL-A5D7	IC10	TCGA	CAFs	0.0627541644939972
TCGA-OL-A5D7	IC10	TCGA	T-cells	0.153999879836188
TCGA-OL-A5S0	IC10	TCGA	CAFs	0.207171061865033
TCGA-OL-A5S0	IC10	TCGA	T-cells	0.11821740791633
TCGA-OL-A66I	IC10	TCGA	CAFs	0.198302242574765
TCGA-OL-A66I	IC10	TCGA	T-cells	0.204473783096728
TCGA-OL-A66P	IC4ER-	TCGA	CAFs	0.156837503470808
TCGA-OL-A66P	IC4ER-	TCGA	T-cells	0.237051229685251
TCGA-OL-A6VO	IC10	TCGA	CAFs	0.111091453850127
TCGA-OL-A6VO	IC10	TCGA	T-cells	0.170711579777038
TCGA-OL-A97C	IC4ER-	TCGA	CAFs	0.428472778814293
TCGA-OL-A97C	IC4ER-	TCGA	T-cells	0.136466953663285
TCGA-PL-A8LZ	IC10	TCGA	CAFs	0.274985119841576
TCGA-PL-A8LZ	IC10	TCGA	T-cells	0.221931399688902
TCGA-S3-AA10	IC10	TCGA	CAFs	0.11802961269541
TCGA-S3-AA10	IC10	TCGA	T-cells	0.170577234983026
TCGA-S3-AA15	IC4ER-	TCGA	CAFs	0.267321460067954
TCGA-S3-AA15	IC4ER-	TCGA	T-cells	0.19245253735685
TCGA-BH-A0WA	IC10	TCGA	CAFs	0.189725837700154
TCGA-BH-A0WA	IC10	TCGA	T-cells	0.0331642601737306
TCGA-BH-A18V	IC10	TCGA	CAFs	0.232145404404342
TCGA-BH-A18V	IC10	TCGA	T-cells	0.147076203200707
TCGA-AR-A0U1	IC10	TCGA	CAFs	NA
TCGA-AR-A0U1	IC10	TCGA	T-cells	NA
MB-0316	IC10	METABRIC	CAFs	0.0848510539314423
MB-0316	IC10	METABRIC	T-cells	0.154412256775993
MB-0658	IC10	METABRIC	CAFs	0.192762697891069
MB-0658	IC10	METABRIC	T-cells	0.168651537293676
MB-0506	IC10	METABRIC	CAFs	0.151107105656679
MB-0506	IC10	METABRIC	T-cells	0.0791900267958263
MB-0420	IC10	METABRIC	CAFs	0.303489904797978
MB-0420	IC10	METABRIC	T-cells	0.0509335035984998
MB-0906	IC4ER-	METABRIC	CAFs	0.154501359996071
MB-0906	IC4ER-	METABRIC	T-cells	0.0873582177811606
MB-0249	IC10	METABRIC	CAFs	0.156149171582679
MB-0249	IC10	METABRIC	T-cells	0.0453223425824095
